Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.71      1.38     0.01       10     1.00     1.00  ape::ComponentManager<ape::Transform>::addComponent(unsigned int)
  0.71      1.39     0.01        2     5.00     5.00  std::__detail::_Node_iterator<std::pair<std::type_index const, int>, false, false>::operator->() const
  0.71      1.40     0.01        1    10.00    10.00  _GLOBAL__sub_I_main
  0.35      1.41     0.01        4     1.25     1.25  std::allocator<std::pair<std::type_index const, int> >::~allocator()
  0.35      1.41     0.01        2     2.50     2.50  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      1.41     0.00 18673385     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::type_index const, int> >::_M_ptr()
  0.00      1.41     0.00 18673385     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::type_index const, int> >::_M_addr()
  0.00      1.41     0.00 14005120     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      1.41     0.00 14004965     0.00     0.00  void ape::World::_staticAssertBase<ape::Transform>()
  0.00      1.41     0.00  9369534     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.41     0.00  9336730     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_addr()
  0.00      1.41     0.00  9336730     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, int> >::_M_valptr()
  0.00      1.41     0.00  9336692     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<std::type_index>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<std::type_index>, true> const&)
  0.00      1.41     0.00  9336670     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, int> >::_M_v()
  0.00      1.41     0.00  9336610     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.00      1.41     0.00  4668404     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true> const&)
  0.00      1.41     0.00  4668400     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      1.41     0.00  4668380     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      1.41     0.00  4668345     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, int>&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, int>&>(std::pair<int const, int>&) const
  0.00      1.41     0.00  4668345     0.00     0.00  int const& std::__pair_get<0ul>::__get<int const, int>(std::pair<int const, int>&)
  0.00      1.41     0.00  4668345     0.00     0.00  std::tuple_element<0ul, std::pair<int const, int> >::type& std::get<0ul, int const, int>(std::pair<int const, int>&)
  0.00      1.41     0.00  4668343     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  0.00      1.41     0.00  4668325     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      1.41     0.00  4668325     0.00     0.00  std::__detail::_Equal_helper<int, std::pair<int const, int>, std::__detail::_Select1st, std::equal_to<int>, unsigned long, false>::_S_equals(std::equal_to<int> const&, std::__detail::_Select1st const&, int const&, unsigned long, std::__detail::_Hash_node<std::pair<int const, int>, false>*)
  0.00      1.41     0.00  4668315     0.00     0.00  ape::ComponentManager<ape::Transform>::getComponentList()
  0.00      1.41     0.00  4668305     0.00     0.00  ape::Transform::getPosition()
  0.00      1.41     0.00    54663     0.00     0.00  ape::Sprite* const& std::forward<ape::Sprite* const&>(std::remove_reference<ape::Sprite* const&>::type&)
  0.00      1.41     0.00    38248     0.00     0.00  std::_Rb_tree_iterator<unsigned int>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      1.41     0.00    36882     0.00     0.00  std::_Identity<unsigned int>::operator()(unsigned int const&) const
  0.00      1.41     0.00    32784     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned int>::_M_ptr() const
  0.00      1.41     0.00    32784     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned int>::_M_addr() const
  0.00      1.41     0.00    32784     0.00     0.00  std::_Rb_tree_node<unsigned int>::_M_valptr() const
  0.00      1.41     0.00    32784     0.00     0.00  std::less<unsigned int>::operator()(unsigned int const&, unsigned int const&) const
  0.00      1.41     0.00    30052     0.00     0.00  __gnu_cxx::__normal_iterator<ape::Sprite*, std::vector<ape::Sprite, std::allocator<ape::Sprite> > >::base() const
